Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2022-10-02 09:18:27,false,"Manor Cycling","31.09","1,322","01:55:55","148","183","16.1","29.4","1,483","1,286","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:03:38.3","7","86.0","01:54:26","02:19:16","499","732"
Cycling,2022-10-01 11:35:57,false,"Cycling","15.62","806","01:06:52","149","174","14.0","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","01:06:52","1","89.6","00:00:00","01:06:52","186","731"
Cycling,2022-08-07 08:40:13,false,"Manor Cycling","20.34","953","01:17:31","152","174","15.7","29.0","9,449","10,161","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:01:11.0","5","93.2","01:17:09","01:23:19","-67","673"
Cycling,2022-07-28 20:25:33,false,"Manor Cycling","10.17","496","00:36:48","155","174","16.6","24.3","262","282","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","86.0","No","00:00:44.4","3","91.4","00:36:43","00:36:48","558","627"
Cycling,2022-06-28 15:34:38,false,"Cycling","0.00","765","00:59:44","152","185","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","87.8","No","00:59:44","1","96.8","00:00:00","00:59:59","496","684"
Cycling,2022-03-24 18:03:01,false,"Austin Cycling","13.15","625","00:49:41","154","176","15.9","35.8","584","909","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:14:11","3","82.4","00:48:41","01:07:13","371","871"
Cycling,2022-02-18 15:29:49,false,"Austin Cycling","19.86","851","01:18:28","143","171","15.2","27.9","912","1,148","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","64.4","No","00:18:58","4","78.8","01:16:58","01:38:49","362","871"
Cycling,2022-01-05 14:22:32,false,"Austin Cycling","20.57","888","01:14:06","148","170","16.7","28.7","758","804","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:02:13.9","5","86.0","01:13:31","01:16:54","686","826"
Cycling,2022-01-04 16:19:19,false,"Austin Cycling","10.17","468","00:36:22","149","168","16.8","26.9","420","430","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:00:54.8","3","78.8","00:36:10","00:36:48","667","832"
Cycling,2021-11-29 11:25:20,false,"Las Cruces Cycling","22.48","908","01:21:17","146","175","16.6","31.0","1,165","1,122","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","68.0","No","00:09:37.5","5","82.4","01:20:34","01:32:28","4,051","4,377"
Cycling,2021-11-28 11:01:03,false,"Las Cruces Cycling","14.95","607","01:42:35","110","145","8.7","51.7","499","148","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","69.8","No","00:20:51","3","82.4","01:40:48","02:21:16","3,958","4,383"
Cycling,2021-10-28 12:14:31,false,"Austin Cycling","15.13","595","00:52:24","140","166","17.3","29.3","843","853","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:00:46.9","4","89.6","00:52:09","00:56:33","706","814"
Cycling,2021-10-23 18:23:50,false,"Austin Cycling","21.02","918","01:09:02","155","180","18.3","27.2","1,427","1,358","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:03:52.2","5","84.2","01:08:17","01:09:10","683","808"
